session,lap,time,s1,s2,s3,s4,s5
RaceBox Track Sessionon 29-05-2026 21-25.csv,1,44.652,8.272,17.934,11.354,0.0,7.092
RaceBox Track Sessionon 29-05-2026 21-25.csv,2,43.377,7.734,17.604,11.056,0.0,6.983
RaceBox Track Sessionon 29-05-2026 21-25.csv,3,43.479,7.642,17.806,11.085,0.0,6.946
RaceBox Track Sessionon 29-05-2026 21-25.csv,4,42.946,7.62,17.384,11.011,0.0,6.931
RaceBox Track Sessionon 29-05-2026 21-25.csv,5,43.883,7.741,18.162,11.036,0.0,6.944
RaceBox Track Sessionon 29-05-2026 21-25.csv,6,42.983,7.562,17.346,11.103,0.0,6.972
RaceBox Track Sessionon 29-05-2026 21-25.csv,7,42.761,7.587,17.388,10.82,0.0,6.966
RaceBox Track Sessionon 29-05-2026 21-25.csv,8,43.854,7.596,17.525,11.746,0.0,6.987
RaceBox Track Sessionon 29-05-2026 21-25.csv,9,43.032,7.62,17.548,10.895,0.0,6.969
RaceBox Track Sessionon 29-05-2026 21-25.csv,10,42.992,7.505,17.386,11.127,0.0,6.974
RaceBox Track Sessionon 29-05-2026 21-25.csv,11,42.774,7.545,17.422,10.913,0.0,6.894
RaceBox Track Sessionon 29-05-2026 21-25.csv,12,43.227,7.871,17.526,10.921,0.0,6.909
RaceBox Track Sessionon 29-05-2026 21-38.csv,1,46.15,9.027,18.434,11.503,0.0,7.186
RaceBox Track Sessionon 29-05-2026 21-38.csv,2,43.729,7.716,17.729,11.238,0.0,7.046
RaceBox Track Sessionon 29-05-2026 21-38.csv,3,43.7,7.902,17.608,11.118,0.0,7.072
RaceBox Track Sessionon 29-05-2026 21-38.csv,4,42.975,7.637,17.406,10.983,0.0,6.949
RaceBox Track Sessionon 29-05-2026 21-38.csv,5,43.054,7.703,17.209,11.265,0.0,6.877
RaceBox Track Sessionon 29-05-2026 21-38.csv,6,42.828,7.616,17.382,10.924,0.0,6.906
RaceBox Track Sessionon 29-05-2026 21-38.csv,7,42.901,7.581,17.408,11.042,0.0,6.87
RaceBox Track Sessionon 29-05-2026 21-38.csv,8,42.961,7.661,17.363,11.043,0.0,6.894
RaceBox Track Sessionon 29-05-2026 21-38.csv,9,43.165,7.798,17.44,10.939,0.0,6.988
RaceBox Track Sessionon 29-05-2026 21-38.csv,10,42.76,7.546,17.404,10.906,0.0,6.904
RaceBox Track Sessionon 29-05-2026 21-38.csv,11,42.78,7.648,17.319,10.929,0.0,6.884
RaceBox Track Sessionon 29-05-2026 21-38.csv,12,44.157,7.573,18.269,11.467,0.0,6.848
RaceBox Track Sessionon 29-05-2026 21-38.csv,13,42.639,7.519,17.206,11.117,0.0,6.797
RaceBox Track Sessionon 29-05-2026 21-38.csv,14,42.879,7.6,17.398,11.129,0.0,6.752
RaceBox Track Sessionon 29-05-2026 21-52.csv,1,46.974,8.02,17.572,12.464,0.0,8.918
RaceBox Track Sessionon 29-05-2026 21-52.csv,2,43.133,7.538,17.411,11.195,0.0,6.989
RaceBox Track Sessionon 29-05-2026 21-52.csv,3,42.9,7.528,17.277,11.213,0.0,6.882
RaceBox Track Sessionon 29-05-2026 21-52.csv,4,42.972,7.49,17.394,11.14,0.0,6.948
RaceBox Track Sessionon 29-05-2026 21-52.csv,5,43.019,7.516,17.473,11.111,0.0,6.919
RaceBox Track Sessionon 29-05-2026 21-52.csv,6,42.722,7.476,17.303,11.07,0.0,6.873
RaceBox Track Sessionon 29-05-2026 21-52.csv,7,42.828,7.544,17.33,11.046,0.0,6.908
RaceBox Track Sessionon 29-05-2026 21-52.csv,8,43.047,7.611,17.509,11.032,0.0,6.895
RaceBox Track Sessionon 29-05-2026 21-52.csv,9,42.765,7.59,17.291,10.993,0.0,6.891
RaceBox Track Sessionon 29-05-2026 21-52.csv,10,42.636,7.579,17.259,10.971,0.0,6.827
RaceBox Track Sessionon 29-05-2026 21-52.csv,11,47.63,7.584,17.392,15.402,0.0,7.252
RaceBox Track Sessionon 29-05-2026 21-52.csv,12,43.249,7.664,17.637,11.024,0.0,6.924
RaceBox Track Sessionon 29-05-2026 21-52.csv,13,42.746,7.478,17.324,11.074,0.0,6.87
RaceBox Track Sessionon 29-05-2026 21-52.csv,14,42.798,7.607,17.317,11.03,0.0,6.844
RaceBox Track Sessionon 29-05-2026 22-06.csv,1,45.523,8.885,18.257,11.461,0.0,6.92
RaceBox Track Sessionon 29-05-2026 22-06.csv,2,43.743,7.669,17.886,11.248,0.0,6.94
RaceBox Track Sessionon 29-05-2026 22-06.csv,3,43.64,7.66,17.735,11.278,0.0,6.967
RaceBox Track Sessionon 29-05-2026 22-06.csv,4,43.548,7.699,17.765,11.101,0.0,6.983
RaceBox Track Sessionon 29-05-2026 22-06.csv,5,44.499,7.697,18.016,11.84,0.0,6.946
RaceBox Track Sessionon 29-05-2026 22-06.csv,6,43.436,7.765,17.753,11.017,0.0,6.901
RaceBox Track Sessionon 29-05-2026 22-06.csv,7,43.737,7.607,18.084,11.234,0.0,6.812
RaceBox Track Sessionon 29-05-2026 22-06.csv,8,43.168,7.63,17.63,11.147,0.0,6.761
RaceBox Track Sessionon 29-05-2026 22-06.csv,9,43.472,7.896,17.585,11.229,0.0,6.762
RaceBox Track Sessionon 29-05-2026 22-06.csv,10,43.568,7.666,17.91,11.289,0.0,6.703
RaceBox Track Sessionon 29-05-2026 22-06.csv,11,43.441,7.645,17.727,11.404,0.0,6.665
RaceBox Track Sessionon 29-05-2026 22-06.csv,12,43.125,7.523,17.612,11.272,0.0,6.718
RaceBox Track Sessionon 29-05-2026 22-06.csv,13,43.472,7.708,17.721,11.226,0.0,6.817
RaceBox Track Sessionon 29-05-2026 22-06.csv,14,43.373,7.618,17.605,11.487,0.0,6.663
